,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
0,50006001,6.2,6.5,9.0,7.0,3.8,8.25,,,
1,50006002,2.6,5.25,3.25,4.75,,,,,
2,50006003,4.4,4.0,2.75,5.75,,,,,
3,50006004,7.0,6.75,,,4.0,,6.5,6.0,4.5
4,50006005,7.2,6.75,,,6.8,,6.75,7.75,7.0
5,50006006,6.0,4.5,6.25,6.75,,,,,
6,50006007,6.2,4.25,8.0,8.0,,,,,
7,50006008,5.8,6.0,8.0,8.25,9.2,8.75,,,
8,50006009,6.0,5.75,5.0,6.75,,,,,
9,50006010,5.8,7.75,7.25,7.25,3.8,8.75,,,
10,50006011,5.6,3.67,4.5,4.75,,,,,
11,50006012,7.2,7.92,7.75,6.5,6.2,9.0,,,
12,50006013,7.6,7.5,,,4.6,,6.75,8.25,5.25
13,50006014,5.8,7.0,,,5.4,,6.25,6.5,4.75
14,50006015,7.0,5.5,8.0,7.75,5.0,8.5,,,
15,50006016,7.4,6.5,,,5.2,,7.25,6.75,4.75
16,50006017,7.4,7.5,7.75,7.5,5.2,9.0,,,
17,50006018,3.0,5.0,5.5,6.75,,,,,
18,50006019,6.4,5.25,5.5,5.25,,,,,
19,50006020,7.4,7.25,6.75,5.5,5.2,9.0,,,
20,50006021,9.2,8.0,,,8.8,,7.25,7.25,7.5
21,50006022,6.8,6.5,,,6.2,,7.5,7.0,5.0
22,50006023,6.8,7.25,,,6.0,,7.25,7.25,6.75
23,50006024,5.6,3.25,5.5,5.75,,,,,
24,50006025,5.4,5.75,7.75,6.5,3.4,8.25,,,
25,50006026,5.4,5.5,6.0,4.75,,,,,
26,50006027,7.4,6.25,,,5.8,,7.0,4.5,5.0
27,50006028,6.6,5.5,9.25,7.75,3.2,9.75,,,
28,50006029,5.8,5.5,6.75,5.75,3.6,8.25,,,
29,50006030,6.2,5.5,6.5,7.0,,,,,
30,50006031,3.6,4.0,4.25,4.25,,,,,
31,50006032,8.4,8.5,,,5.4,,8.5,8.75,7.5
32,50006033,5.2,5.0,3.75,6.0,,,,,
33,50006034,3.6,4.5,4.75,5.75,,,,,
34,50006035,4.8,7.75,6.25,5.75,3.8,9.0,,,
35,50006036,7.6,8.25,,,6.8,,7.25,6.75,4.75
36,50006037,7.4,7.0,,,7.6,,7.75,6.5,4.75
37,50006038,7.0,6.5,8.0,8.0,4.6,9.0,,,
38,50006039,8.8,7.25,,,6.8,,7.75,8.75,8.5
39,50006040,5.8,5.5,4.75,5.5,,,,,
40,50006041,8.0,7.25,,,5.8,,8.0,6.5,5.5
41,50006042,7.0,6.75,,,3.6,,5.5,4.25,3.0
42,50006043,6.0,6.0,7.0,6.25,4.0,8.5,,,
43,50006044,9.0,7.75,,,5.6,,7.5,7.0,6.25
44,50006045,7.2,7.0,,,6.8,,7.75,5.5,5.25
45,50006046,6.0,8.25,8.25,6.5,4.2,9.0,,,
46,50006047,4.2,6.25,4.0,4.75,,,,,
47,50006048,7.2,7.25,8.0,7.0,4.8,8.5,,,
48,50006049,5.8,6.0,5.25,5.5,,,,,
49,50006050,5.4,7.0,7.5,8.25,5.2,8.5,,,
50,50006051,7.2,7.5,8.25,8.0,6.4,9.0,,,
51,50006052,,8.25,9.0,9.0,,,,,
52,50006053,,6.5,4.75,8.0,,,,,
53,50006054,7.4,6.0,5.25,,,,,,
54,50006055,4.2,,,,,,4.25,4.5,
55,50006056,7.6,6.5,6.0,7.0,5.8,9.0,,,
56,50006057,8.0,6.5,,,2.8,,6.25,4.25,5.25
57,50006058,3.0,3.5,5.5,5.75,3.2,6.75,,,
58,50006059,3.0,4.75,4.75,6.0,3.2,5.5,,,
59,50006060,5.6,5.58,6.75,6.0,6.8,8.25,,,
60,50006061,4.6,5.5,3.25,5.75,3.2,9.0,,,
61,50006062,7.2,5.0,,,8.0,,6.25,4.75,3.25
62,50006063,7.0,6.0,3.75,6.5,4.0,7.75,,,
63,50006064,3.0,5.75,5.0,2.75,1.6,7.0,,,
64,50006065,5.4,7.0,5.0,4.5,5.2,6.75,,,
65,50006066,5.4,6.0,5.0,4.5,3.8,6.75,,,
66,50006067,6.0,5.0,,,4.0,,4.5,4.75,2.75
67,50006068,6.2,6.25,4.75,4.5,3.4,7.5,,,
68,50006069,6.4,4.0,4.25,6.0,4.2,8.5,,,
69,50006070,6.6,5.0,,,3.4,,5.75,4.75,2.25
70,50006071,6.4,5.0,5.75,7.0,2.4,8.0,,,
71,50006072,4.8,7.0,,,3.6,,6.75,4.5,2.5
72,50006073,4.8,6.0,6.25,6.25,4.4,8.5,,,
73,50006074,6.4,4.5,,,4.0,,5.75,5.5,3.25
74,50006075,3.8,5.75,6.0,5.75,4.4,9.0,,,
75,50006076,8.2,,,,,,7.75,8.25,
76,50006077,6.2,,,,,,5.25,4.5,
77,50006078,,6.0,5.75,7.75,,,,,
78,50006079,5.2,6.0,6.0,7.0,4.4,8.75,,,
79,50006080,4.6,5.75,5.25,6.25,3.6,7.5,,,
80,50006081,6.6,5.25,4.75,5.5,2.6,7.75,,,
81,50006082,6.0,6.5,6.25,7.5,4.8,8.5,,,
82,50006083,5.6,5.0,5.0,6.75,2.2,8.0,,,
83,50006084,4.0,7.5,6.75,6.25,5.0,8.25,,,
84,50006085,6.0,6.0,5.75,6.5,2.2,7.0,,,
85,50006086,6.4,5.75,5.75,6.5,4.2,7.25,,,
86,50006087,7.0,7.0,6.75,7.5,5.6,7.5,,,
87,50006088,6.8,,,,,,,7.75,7.25
88,50006089,5.6,6.75,7.0,6.25,5.4,8.25,,,
89,50006090,3.6,4.5,5.0,6.5,3.4,7.25,,,
90,50006092,,8.0,7.75,7.75,,,,,
91,50006093,5.8,6.0,8.25,8.5,4.4,8.25,,,
92,50006094,5.4,5.75,7.25,6.75,5.0,7.5,,,
93,50006095,6.6,6.5,,,3.8,,3.75,3.5,3.75
94,50006096,7.8,7.25,4.5,5.0,3.2,7.5,,,
95,50006097,3.2,4.0,4.25,4.75,2.4,7.0,,,
96,50006098,6.4,6.0,5.25,6.25,5.2,8.25,,,
97,50006099,6.0,5.5,1.75,5.75,5.2,5.75,,,
98,50006100,6.6,6.5,9.0,7.0,7.6,8.75,,,
99,50006101,,5.75,7.25,7.25,,,,,
100,50006102,8.0,,,,,,,8.75,6.75
101,50006103,4.8,7.0,8.0,6.5,4.4,9.0,,,
102,50006104,4.8,5.5,3.75,5.75,3.2,7.5,,,
103,50006105,8.4,,,,,,8.5,9.0,
104,50006106,7.4,6.75,,,5.4,,7.25,6.5,5.25
105,50006107,3.2,3.5,2.25,3.75,,,,,
106,50006108,8.4,,,,,,8.25,8.5,8.0
107,50006109,2.6,5.0,6.75,7.25,7.2,8.0,,,
108,50006110,7.2,,,,,,6.5,6.25,
109,50006111,3.2,3.0,4.25,4.75,3.0,6.25,,,
110,50006112,6.8,7.5,4.75,6.5,3.6,8.5,,,
111,50006113,7.2,7.5,5.5,7.75,5.6,8.0,,,
112,50006114,6.4,6.75,,,5.6,,7.0,6.25,4.5
113,50006115,7.6,6.5,,,5.4,,7.25,7.0,4.75
114,50006116,5.0,7.5,4.75,6.25,3.4,8.5,,,
115,50006117,,6.5,6.75,6.25,,,,,
116,50006118,8.6,5.75,,,4.0,,8.75,8.5,3.75
117,50006119,2.6,4.5,5.75,5.5,4.0,8.5,,,
118,50006120,6.0,6.0,5.75,5.5,3.6,8.5,,,
119,50006121,5.8,5.75,5.25,6.0,5.6,8.25,,,
120,50006122,8.4,,,,,,,8.25,9.5
121,50006123,6.2,5.0,6.25,7.25,2.8,8.25,,,
122,50006124,5.6,5.5,6.25,6.0,6.2,8.0,,,
123,50006125,,5.0,5.75,7.5,,,,,
124,50006126,,6.25,8.75,7.75,,,,,
125,50006127,5.6,6.0,4.5,4.75,3.2,7.25,,,
126,50006128,3.0,4.0,3.5,5.75,,,,,
127,50006129,,6.75,9.75,9.25,,,,,
128,50006130,6.2,6.5,,,4.0,,6.25,5.0,4.25
129,50006131,7.6,5.0,4.5,5.25,2.8,6.0,,,
130,50006132,,8.0,9.5,9.0,,,,,
131,50006133,6.8,3.0,5.5,6.25,2.8,7.5,,,
132,50006134,4.2,4.5,5.0,6.0,2.8,8.25,,,
133,50006135,7.0,5.75,,,5.8,,7.0,5.5,4.5
134,50006136,,5.75,8.25,7.75,,,,,
135,50006137,8.4,4.5,,,3.6,,7.0,8.75,4.5
136,50006138,6.6,5.5,6.0,6.5,3.0,8.5,,,
137,50006139,4.4,5.25,,,1.8,,7.5,5.75,4.75
138,50006140,5.4,5.25,6.0,6.0,4.2,8.0,,,
139,50006141,,6.25,6.5,7.75,,,,,
140,50006142,,5.0,6.25,6.5,,,,,
141,50006143,,6.0,6.25,6.75,,,,,
142,50006144,7.6,5.75,5.25,6.25,6.2,8.5,,,
143,50006145,7.4,6.5,,,5.6,,6.5,7.0,5.25
144,50006146,7.8,5.5,,,5.8,7.75,,,
145,50006147,7.6,6.5,,,6.0,,5.5,7.0,3.5
146,50006149,6.0,8.5,,,5.8,,,,
147,50006150,5.2,6.0,,,4.4,,5.25,5.25,3.5
148,50006151,6.6,6.25,,,3.4,,6.25,4.75,3.5
149,50006152,,5.0,5.5,6.0,,,,,
150,50006153,3.0,4.25,3.0,5.75,4.6,5.5,,,
151,50006154,,6.0,8.5,8.25,,,,,
152,50006155,8.2,,,,,,7.5,8.25,
153,50006156,6.8,6.75,2.25,4.0,4.4,5.25,,,
154,50006157,3.2,4.5,5.75,5.0,3.8,7.25,,,
155,50006158,6.8,7.5,9.5,,,,,,
156,50006159,8.4,7.0,,,6.0,,,,
157,50006160,6.6,5.75,,,3.4,,3.75,5.25,5.75
158,50006161,4.6,7.25,7.0,7.5,6.6,8.75,,,
159,50006162,4.4,7.0,5.5,6.75,3.4,8.5,,,
160,50006163,6.0,4.75,7.0,7.25,5.4,8.0,,,
161,50006164,,7.25,9.25,8.0,,,,,
162,50006165,7.2,6.25,,,6.0,,7.0,9.0,6.5
163,50006166,7.2,6.5,7.0,6.25,4.8,7.75,,,
164,50006167,5.8,6.25,5.0,6.25,4.4,7.75,,,
165,50006168,5.8,5.5,4.5,6.25,2.2,6.5,,,
166,50006169,,5.0,3.75,4.5,,,,,
167,50006172,4.8,4.5,,,3.2,,6.5,3.75,2.75
168,50006173,3.8,6.25,2.25,4.0,2.4,6.75,,,
169,50006174,,6.25,7.25,6.5,,,,,
170,50006175,5.4,5.5,3.5,5.0,3.2,7.5,,,
171,50006177,6.6,6.0,3.5,5.5,3.8,6.5,,,
172,50006178,2.4,5.25,5.5,5.25,6.2,7.0,,,
173,50006179,5.4,4.0,5.0,6.25,3.0,7.25,,,
174,50006180,3.6,4.25,3.25,5.25,2.0,6.25,,,
175,50006181,4.8,7.0,6.5,6.25,5.0,8.5,,,
176,50006182,4.0,5.0,4.5,5.0,2.4,7.25,,,
177,50006183,3.0,4.75,5.5,6.25,,,,,
178,50006184,4.8,5.5,4.25,6.0,4.8,8.0,,,
179,50006185,7.4,5.0,,,4.0,,6.5,5.25,3.75
180,50006186,,5.75,8.5,8.25,,,,,
181,50006187,7.8,,,,,,7.0,8.25,
182,50006188,3.4,4.0,4.25,6.75,3.2,6.5,,,
183,50006189,8.0,4.75,,,7.6,,6.75,6.75,4.5
184,50006190,8.8,4.5,,,5.2,,7.25,9.0,5.0
185,50006191,4.4,4.0,6.0,5.25,2.2,6.75,,,
186,50006192,8.6,,,,7.6,,7.75,,
187,50006193,6.2,6.17,4.5,6.75,4.8,5.0,,,
188,50006194,6.8,,,,,,6.75,5.75,
189,50006195,7.0,6.75,5.75,6.75,3.4,8.0,,,
190,50006196,4.2,,,,2.0,,3.0,,
191,50006198,8.4,3.0,,,5.6,,3.0,8.75,8.0
192,50006199,5.6,5.0,,,4.4,,3.75,3.0,2.75
193,50006200,,3.5,4.75,3.75,,,,,
194,50006201,7.4,5.75,5.0,5.5,4.0,7.75,,,
195,50006202,7.6,,,,,,,6.25,6.0
196,50006203,8.2,,,,,,7.75,8.0,
197,50006204,5.8,6.0,5.75,5.25,2.0,6.75,,,
198,50006205,8.0,7.75,,,4.8,,8.0,7.75,3.75
199,50006206,3.8,6.25,6.25,6.25,2.4,8.0,,,
200,50006207,7.6,7.75,7.75,7.5,5.0,9.25,,,
201,50006208,7.4,7.5,8.75,8.75,4.2,9.0,,,
202,50006209,6.8,4.25,,,6.6,,7.25,5.0,4.5
203,50006210,3.6,5.0,7.0,6.75,3.8,7.25,,,
204,50006212,4.0,4.0,4.25,4.75,3.2,8.5,,,
205,50006213,1.8,3.0,4.0,5.75,2.4,5.25,,,
206,50006214,2.6,5.0,3.25,3.0,2.6,5.75,,,
207,50006215,3.0,5.25,3.75,4.25,3.4,7.0,,,
208,50006216,8.2,8.5,9.5,,,,,,
209,50006217,4.4,5.25,5.75,6.5,2.8,7.75,,,
210,50006218,5.4,5.25,4.25,6.25,3.2,7.75,,,
211,50006219,5.8,5.25,6.5,5.75,3.0,7.5,,,
212,50006220,6.2,4.0,,,6.0,,5.75,5.25,3.5
213,50006221,5.4,3.75,6.75,5.5,5.4,7.75,,,
214,50006222,4.6,5.75,7.0,7.75,3.6,8.5,,,
215,50006223,5.0,5.5,,,3.8,,6.25,4.75,4.5
216,50006224,,1.5,3.25,3.25,,,,,
217,50006225,8.4,,,,,,7.75,9.0,9.0
218,50006226,6.4,5.75,,,2.8,,4.75,3.25,3.5
219,50006227,5.6,5.0,,,3.6,,3.25,5.0,3.25
220,50006228,3.0,4.5,5.0,5.25,3.0,8.5,,,
221,50006229,6.4,5.0,7.75,6.75,3.8,9.25,,,
222,50006230,,6.5,7.5,6.75,,,,,
223,50006231,6.8,4.75,,,5.2,,6.75,6.5,4.5
224,50006232,8.4,,,,,,7.5,7.25,
225,50006233,5.4,5.5,4.75,6.5,4.0,7.0,,,
226,50006234,7.8,,,,8.2,,7.0,,
227,50006235,6.4,4.5,6.5,6.25,3.4,8.0,,,
228,50006236,,6.92,8.75,7.75,7.2,,,,
229,50006237,6.6,,,,,,,5.25,4.75
230,50006238,8.0,5.5,7.5,,,,,,
231,50006239,3.8,5.0,5.25,5.5,3.2,6.75,,,
232,50006240,,2.25,3.25,4.25,,,,,
233,50006241,,5.0,8.0,9.0,,,,,
234,50006242,,5.25,5.25,6.25,,,,,
235,50006243,6.0,5.5,5.5,6.0,3.8,8.5,,,
236,50006244,7.4,5.33,6.5,5.75,3.2,7.0,,,
237,50006245,7.0,6.0,,,5.4,,7.5,8.25,3.25
238,50006246,7.8,6.25,,,5.2,,7.0,4.75,4.5
239,50006247,2.0,4.5,3.75,6.0,2.2,4.0,,,
240,50006248,7.2,6.75,7.5,8.5,4.6,8.25,,,
241,50006249,5.2,5.25,4.5,,,,,,
242,50006250,8.4,7.25,7.0,7.5,6.2,9.5,,,
243,50006251,,5.0,4.75,5.5,,,,,
244,50006252,5.0,6.0,4.75,6.25,5.2,8.25,,,
245,50006253,6.4,6.0,,,6.8,,6.5,6.5,3.5
246,50006254,7.8,,,,8.4,,7.0,9.25,
247,50006255,5.6,4.75,5.0,5.0,2.2,7.25,,,
248,50006256,5.8,5.5,6.25,7.25,5.2,8.5,,,
249,50006258,8.0,,,,,,,7.25,7.25
250,50006260,6.4,6.5,5.25,6.25,4.0,5.5,,,
251,50006261,6.0,6.25,4.5,5.5,3.6,7.25,,,
252,50006262,6.8,6.0,,,4.2,,7.0,5.25,4.25
253,50006263,8.6,,,,,,,7.25,8.0
254,50006264,6.0,4.75,,,5.2,,4.0,5.0,2.5
255,50006266,5.0,6.25,2.5,5.5,3.2,5.0,,,
256,50006267,5.8,6.0,7.0,6.0,5.6,8.0,,,
257,50006268,,6.25,7.0,6.25,,,,,
258,50006269,2.4,5.25,7.5,,,,,,
259,50006270,6.8,6.25,4.25,6.0,3.2,7.0,,,
260,50006271,6.0,5.25,,,4.2,,6.0,8.5,4.75
261,50006273,2.6,5.25,4.5,4.25,2.2,6.75,,,
262,50006274,7.0,5.0,,,4.6,,4.0,3.25,3.5
263,50006275,7.4,5.75,4.75,6.5,3.4,7.25,,,
264,50006276,,5.0,3.25,5.75,,,,,
265,50006277,7.8,6.25,7.25,8.0,5.2,9.25,,,
266,50006278,5.4,6.5,5.5,5.25,5.0,8.0,,,
267,50006279,,4.5,5.25,6.0,,,,,
268,50006280,7.4,7.75,7.75,,,,,,
269,50006281,2.8,5.0,5.0,,,,,,
270,50006282,3.8,4.5,6.25,7.0,2.8,,,,
271,50006284,5.4,5.92,,,6.6,,5.75,6.5,3.5
272,50006285,1.6,5.0,3.25,5.0,3.4,5.0,,,
273,50006286,6.2,7.0,6.0,7.0,4.4,10.0,,,
274,50006287,8.0,5.0,8.75,7.75,7.0,9.5,,,
275,50006288,4.6,7.66,4.5,5.5,6.0,6.0,,,
276,50006289,4.6,5.5,6.0,6.5,3.4,8.25,,,
277,50006290,7.6,6.33,4.5,6.0,5.6,8.25,,,
278,50006291,4.6,4.5,2.5,5.0,3.6,8.0,,,
279,50006292,6.4,7.75,6.5,5.5,4.0,8.0,,,
280,50006293,8.4,,,,,,,7.75,8.25
281,50006294,8.0,6.5,,,5.0,,8.25,8.25,3.0
282,50006295,,5.0,5.5,5.75,,,,,
283,50006296,7.0,6.75,7.0,7.0,6.4,9.0,,,
284,50006297,8.4,7.5,8.5,,,,,,
285,50006298,7.4,,,,5.6,,6.75,,
286,50006299,7.0,7.75,8.25,,,,,,
287,50006300,3.4,4.5,4.5,7.0,4.4,6.75,,,
288,50006301,6.0,5.75,,,5.0,,6.25,5.0,3.5
289,50006302,4.4,6.0,4.0,5.5,3.0,8.0,,,
290,50006303,6.8,6.0,4.25,5.75,4.8,6.5,,,
291,50006304,8.0,6.5,5.5,6.25,4.4,7.25,,,
292,50006305,7.8,7.0,,,7.8,,,,
293,50006306,4.8,5.0,3.25,6.25,3.6,7.25,,,
294,50006307,5.8,7.5,6.75,5.25,3.8,8.5,,,
295,50006308,3.8,5.75,5.25,5.75,4.6,6.75,,,
296,50006309,5.2,6.25,5.0,6.5,3.6,8.5,,,
297,50006310,7.6,6.25,,,5.6,,6.75,6.5,5.25
298,50006311,7.2,7.0,6.75,6.25,8.8,9.0,,,
299,50006312,5.8,7.5,,,5.0,,6.25,8.0,5.75
300,50006313,7.4,8.25,4.5,5.75,8.0,6.5,,,
301,50006314,4.0,5.25,5.5,6.0,2.6,9.5,,,
302,50006315,7.4,5.25,,,4.0,,4.75,5.25,4.0
303,50006316,2.0,3.25,5.5,3.25,,,,,
304,50006317,8.2,7.5,9.0,8.25,6.2,9.5,,,
305,50006318,4.8,6.75,5.25,4.25,3.0,7.5,,,
306,50006319,8.0,4.0,,,7.0,,3.75,8.0,6.75
307,50006320,,2.0,6.0,4.25,,,,,
308,50006322,8.6,,,,,,9.0,8.5,
309,50006323,6.6,6.75,8.5,,,,,,
310,50006324,6.8,6.25,6.75,7.5,3.2,8.75,,,
311,50006325,,6.5,8.25,6.0,,,,,
312,50006326,9.0,,,,,,,7.75,7.75
313,50006327,5.8,5.0,5.0,6.75,4.6,8.0,,,
314,50006328,5.8,6.0,,,5.0,,6.0,5.5,3.5
315,50006329,5.8,6.5,6.5,7.0,4.8,7.75,,,
316,50006330,8.2,5.75,,,5.6,,7.25,9.0,8.0
317,50006331,6.0,6.0,,,2.6,,4.75,4.25,4.25
318,50006332,5.4,6.75,5.5,5.5,6.0,7.75,,,
