,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
0,50014843,7.0,6.75,7.0,4.75,6.25,4.6,,,
1,50014844,3.4,,,,6.0,2.0,7.25,7.25,8.5
2,50014845,6.0,,,,6.0,4.4,5.0,7.0,9.25
3,50014846,5.0,6.75,6.0,4.5,6.0,5.2,,,
4,50014847,5.6,,,,5.0,3.0,2.5,6.25,7.25
5,50014848,3.4,,,,4.75,4.0,4.75,4.75,7.5
6,50014849,5.2,,,,6.0,4.2,7.5,7.5,9.75
7,50014850,5.2,,,,5.0,3.4,5.25,5.0,6.0
8,50014851,4.8,4.5,4.25,4.0,7.25,3.8,,,
9,50014852,8.0,6.25,7.25,5.0,8.0,7.0,,,
10,50014853,5.6,,,,7.0,4.4,6.75,7.75,8.25
11,50014854,5.6,,,,6.5,4.4,6.0,6.5,9.0
12,50014855,8.4,,,,6.25,4.0,8.0,6.25,9.0
13,50014856,6.6,,,,6.5,3.6,7.5,6.5,8.5
14,50014857,7.8,6.75,6.75,5.0,6.5,3.8,,,
15,50014858,7.0,,,,6.25,4.6,6.5,7.75,8.0
16,50014859,6.0,,,,6.25,3.8,7.0,7.5,9.5
17,50014860,3.8,,,,5.25,3.2,6.25,6.0,7.5
18,50014861,7.6,,,,5.75,3.6,6.5,6.75,9.5
19,50014862,6.8,,,,6.25,4.0,8.25,8.0,9.0
20,50014863,7.8,,,,7.75,4.4,7.5,7.0,9.0
21,50014864,5.2,,,,5.5,3.6,6.75,6.5,7.25
22,50014865,4.2,,,,5.5,2.6,7.0,4.0,7.75
23,50014866,8.0,8.25,8.25,6.5,7.75,5.4,,,
24,50014867,8.4,8.0,6.75,6.0,8.0,7.8,,,
25,50014868,5.6,,,,7.0,3.6,7.5,5.5,9.25
26,50014869,5.8,,,,7.0,4.6,6.25,8.0,8.75
27,50014870,4.4,,,,5.5,3.6,5.75,6.75,6.25
28,50014871,7.6,,,,6.5,3.2,7.0,7.5,8.25
29,50014872,3.6,,,,6.75,3.2,6.25,6.25,8.75
30,50014873,3.4,,,,6.5,3.2,7.5,5.75,9.25
31,50014874,5.2,,,,5.5,4.4,7.75,7.5,8.75
32,50014875,6.8,,,,7.25,5.2,7.25,6.5,9.0
33,50014876,6.0,,,,7.0,3.4,6.0,6.75,9.25
34,50014877,4.6,,,,7.0,3.8,9.0,7.5,7.75
35,50014878,6.0,7.0,6.0,5.25,6.25,5.6,,,
36,50014879,6.8,,,,7.25,5.4,9.25,6.75,8.25
37,50014880,4.2,,,,4.25,2.2,4.25,6.5,7.75
38,50014881,7.4,,,,7.5,5.6,9.0,8.75,9.0
39,50014882,6.6,,,,7.5,4.2,8.0,8.25,9.25
40,50014883,6.2,,,,4.5,3.4,7.5,6.0,8.25
41,50014884,3.8,,,,5.0,3.6,5.25,4.75,6.75
42,50014885,7.2,4.75,6.75,5.0,5.75,5.0,,,
43,50014886,6.0,,,,6.75,4.8,6.25,6.5,8.75
44,50014887,3.2,,,,6.5,5.2,5.5,5.25,7.75
45,50014888,7.2,7.5,7.0,5.5,6.17,6.0,,,
46,50014889,4.8,,,,4.5,5.4,3.0,5.5,7.5
47,50014890,8.0,,,,8.5,9.2,9.5,9.0,9.25
48,50014891,7.2,,,,8.0,5.6,7.5,6.5,8.0
49,50014892,5.8,,,,7.0,4.6,7.5,7.75,9.75
50,50014893,3.8,,,,6.0,5.6,5.75,6.0,6.5
51,50014894,6.2,,,,7.25,6.0,7.5,7.0,8.75
52,50014895,6.0,,,,4.5,3.4,5.25,4.5,8.75
53,50014896,6.0,,,,6.25,5.0,6.75,7.5,9.0
54,50014897,6.4,,,,6.75,6.6,9.0,7.75,8.75
55,50014898,7.2,,,,7.5,4.4,7.25,7.25,8.0
56,50014899,6.2,,,,6.25,4.2,7.75,7.75,8.75
57,50014900,6.8,,,,7.5,3.2,8.0,7.0,7.0
58,50014901,2.6,,,,4.5,3.8,3.25,3.25,4.5
59,50014902,7.8,5.75,5.25,4.25,8.0,3.8,,,
60,50014903,7.8,,,,8.75,4.4,8.25,8.5,8.5
61,50014904,6.2,,,,7.0,7.2,5.75,6.25,8.25
62,50014905,5.4,,,,7.0,4.0,6.5,6.5,8.0
63,50014906,7.2,,,,6.5,4.8,7.5,6.5,9.75
64,50014907,7.2,7.0,8.0,5.25,8.0,7.2,,,
65,50014908,5.6,,,,6.75,3.4,8.25,8.0,8.25
66,50014909,5.4,,,,7.0,5.6,5.75,7.0,8.5
67,50014910,7.4,,,,8.0,5.8,9.0,8.25,9.25
68,50014911,7.6,,,,5.5,4.0,7.0,7.5,8.75
69,50014912,6.4,,,,6.0,3.0,4.5,7.0,8.5
70,50014913,7.6,7.25,6.5,6.0,7.0,5.4,,,
71,50014914,6.4,,,,6.5,5.8,7.75,7.0,9.5
72,50014915,5.4,,,,4.75,4.0,6.0,7.75,7.5
73,50014916,6.2,,,,5.75,5.0,7.0,6.75,7.75
74,50014917,7.6,7.75,7.5,5.75,7.25,5.4,,,
75,50014918,6.6,,,,6.5,4.6,5.75,7.0,9.0
76,50014919,5.6,,,,6.75,4.2,8.0,8.0,9.25
77,50014920,6.2,,,,7.0,4.8,4.25,6.5,9.0
78,50014921,4.4,,,,4.0,4.2,5.25,5.0,7.5
79,50014922,4.2,,,,6.0,2.8,6.5,7.25,8.75
80,50014923,6.6,,,,6.5,3.4,6.0,6.25,7.75
81,50014924,6.4,,,,6.75,6.0,8.5,6.5,9.5
82,50014925,8.4,4.0,5.25,6.5,8.0,9.2,,,
83,50014926,5.8,,,,4.5,4.0,5.5,6.5,6.5
84,50014927,5.6,,,,6.75,4.2,7.0,7.75,8.75
85,50014928,5.0,,,,5.25,2.6,5.75,6.5,6.0
86,50014929,6.8,,,,7.0,2.4,7.25,7.25,9.25
87,50014930,5.6,,,,6.5,3.0,6.5,5.25,7.25
88,50014931,7.0,,,,4.25,4.6,9.0,7.0,9.25
89,50014932,7.0,3.5,2.75,4.25,6.0,3.6,,,
90,50014933,4.6,,,,7.0,2.2,6.5,6.25,8.25
91,50014934,2.8,,,,6.25,1.6,6.5,7.25,8.5
92,50014935,7.8,,,,7.25,3.6,8.0,8.0,9.75
93,50014936,3.4,,,,5.5,4.0,6.75,6.25,7.25
94,50014937,7.4,,,,7.5,4.2,9.0,7.25,8.75
95,50014938,2.6,,,,5.5,2.6,4.0,5.25,6.75
96,50014939,4.8,,,,7.5,3.2,7.0,7.0,8.0
97,50014940,4.0,,,,6.25,4.0,5.25,6.5,8.75
98,50014941,7.2,,,,8.0,5.6,7.75,6.75,8.75
99,50014942,5.8,,,,6.75,4.4,7.0,6.5,8.0
100,50014943,7.6,7.0,6.5,5.5,7.0,6.4,,,
101,50014944,6.8,,,,7.5,3.6,7.5,5.5,8.75
102,50014945,7.8,,,,7.5,5.8,7.25,7.0,9.0
103,50014946,3.6,,,,4.75,3.4,6.5,4.75,6.0
104,50014947,4.8,,,,6.5,3.2,7.5,6.0,7.5
105,50014948,2.8,,,,7.0,2.4,4.5,3.75,7.5
106,50014949,6.8,,,,7.0,2.8,8.0,7.0,9.75
107,50014950,7.0,,,,7.75,4.2,8.0,7.25,9.0
108,50014951,7.0,5.0,7.75,7.25,5.75,5.0,,,
109,50014952,5.6,,,,5.75,4.0,6.0,6.75,8.5
110,50014953,4.6,2.5,3.0,1.75,5.25,3.0,,,
111,50014954,5.6,,,,6.0,4.4,5.0,5.25,8.25
112,50014955,6.2,7.25,7.25,6.5,7.25,6.0,,,
