,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
0,50000001,6.2,5.25,5.5,7.25,4.8,7.5,,,
1,50000002,5.4,6.0,6.75,5.75,4.0,7.25,,,
2,50000003,7.4,7.0,,,5.6,,5.25,5.75,6.5
3,50000004,6.4,8.0,6.5,8.5,5.6,9.5,,,
4,50000005,7.4,7.25,,,6.6,,8.0,5.75,4.5
5,50000006,7.4,4.75,,,4.8,,7.25,7.75,6.0
6,50000007,4.8,4.0,5.5,7.0,4.2,7.5,,,
7,50000008,5.2,6.5,5.5,6.0,4.2,7.75,,,
8,50000009,7.6,7.0,,,7.2,,7.5,7.5,6.5
9,50000010,8.8,7.25,,,8.4,,9.25,8.5,8.25
10,50000011,6.8,6.75,,,4.8,,5.25,3.75,3.5
11,50000012,5.8,7.75,7.75,8.25,6.2,8.0,,,
12,50000013,6.2,5.5,6.25,7.0,2.8,8.25,,,
13,50000014,8.4,8.0,,,7.6,,8.0,8.0,8.5
14,50000015,7.0,7.75,7.25,7.25,3.0,9.0,,,
15,50000016,8.2,5.5,,,4.2,,8.0,8.5,5.0
16,50000017,6.6,6.5,,,5.4,,7.25,7.0,4.5
17,50000018,6.8,5.5,5.75,6.5,4.4,8.75,,,
18,50000019,6.6,6.5,,,5.6,,6.0,4.5,4.0
19,50000020,8.2,7.75,,,7.6,,6.75,7.25,6.75
20,50000021,7.6,7.25,,,5.6,,6.5,7.5,4.75
21,50000022,7.4,7.5,7.0,6.75,4.4,8.25,,,
22,50000023,8.2,8.25,,,8.0,,8.0,6.25,5.25
23,50000024,4.2,7.5,7.5,6.75,5.4,7.0,,,
24,50000025,8.0,6.5,,,4.4,,7.0,5.5,4.25
25,50000026,8.2,8.0,,,7.2,,5.75,8.75,8.75
26,50000027,4.4,3.5,5.25,6.0,2.6,8.5,,,
27,50000028,5.4,5.0,5.25,6.25,3.6,7.75,,,
28,50000029,6.6,6.25,,,4.6,,4.25,5.75,4.0
29,50000030,5.0,6.75,,,4.2,,5.5,4.5,5.75
30,50000031,5.8,7.0,,,4.8,,5.25,5.75,5.0
31,50000032,5.6,5.75,6.75,7.0,4.6,8.75,,,
32,50000033,5.2,7.0,,,2.8,,6.0,5.75,4.0
33,50000034,8.2,7.25,,,7.2,,8.75,8.25,5.5
34,50000035,7.8,5.5,,,5.0,,5.75,5.5,6.25
35,50000036,6.8,6.75,,,5.0,,5.5,4.0,3.75
36,50000037,6.8,5.5,5.75,5.5,4.4,8.5,,,
37,50000038,7.6,6.25,,,3.8,,7.75,7.75,4.25
38,50000039,8.2,6.25,8.25,7.0,3.0,9.5,,,
39,50000040,6.8,6.0,,,4.8,,6.25,6.25,4.5
40,50000041,7.0,7.0,,,5.4,,6.5,6.25,5.75
