,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
0,50005001,8.4,8.25,7.25,5.25,7.0,8.4,,,
1,50005002,8.6,7.0,6.0,5.5,7.0,8.2,,,
2,50005003,7.0,,,,6.5,,6.5,5.75,
3,50005004,7.8,6.75,7.0,6.0,7.75,9.2,,,
4,50005005,8.0,,,,8.75,6.2,6.25,7.75,8.75
5,50005006,8.4,6.75,8.0,6.0,7.75,5.4,,,
6,50005007,7.0,7.25,7.5,4.25,8.0,5.2,,,
7,50005008,7.2,7.0,7.0,4.75,5.75,8.4,,,
8,50005009,6.6,,,,5.75,,8.25,7.0,
9,50005010,8.2,7.25,8.75,8.5,7.5,8.4,,,
10,50005011,8.6,7.75,7.5,5.25,6.75,4.0,,,
11,50005012,5.8,,,,6.5,4.6,5.75,6.25,7.0
12,50005013,5.4,,,,6.25,,6.5,6.5,
13,50005014,4.4,,,,7.25,,6.75,7.5,
14,50005015,5.6,,,,6.25,,7.5,6.0,
15,50005016,5.8,,,,6.75,7.6,6.75,7.75,8.75
16,50005017,7.2,,,,7.75,,5.75,6.5,
17,50005018,7.2,6.75,5.5,6.75,8.0,7.8,,,
18,50005019,4.0,,,,4.0,,6.5,6.5,
19,50005020,8.4,7.75,7.75,4.25,6.0,4.6,,,
20,50005021,7.8,,,,7.75,5.4,5.75,7.25,8.75
21,50005022,9.0,6.0,9.25,9.0,7.0,6.2,,,
22,50005023,4.6,,,,4.0,,3.75,5.75,
23,50005024,4.8,,,,3.75,,4.5,6.25,
24,50005025,7.8,6.75,7.0,8.0,8.75,6.4,,,
25,50005026,5.6,,,,5.25,,4.5,7.0,
26,50005027,7.6,,,,7.5,7.2,5.5,6.75,8.5
27,50005028,8.2,6.75,7.75,4.25,7.5,4.8,,,
28,50005029,6.6,,,,6.75,7.0,5.0,6.75,8.25
29,50005030,5.8,,,,6.17,,4.75,7.25,
30,50005031,7.8,6.25,7.25,6.75,8.75,4.0,,,
31,50005032,8.2,,,,7.5,5.8,6.25,6.25,8.5
32,50005033,7.4,,,,7.5,4.8,8.5,7.0,8.5
33,50005034,7.4,6.5,6.0,4.5,7.0,4.4,,,
34,50005035,7.0,,,,7.0,3.8,7.5,6.25,8.0
35,50005036,8.0,,,,6.25,7.6,6.5,7.0,7.75
36,50005037,6.6,,,,7.0,5.6,6.75,7.0,8.75
37,50005038,8.2,6.75,6.25,4.75,8.0,5.6,,,
38,50005039,6.2,,,,6.0,4.2,6.5,7.75,8.5
39,50005040,7.8,,,,6.25,6.2,7.5,7.25,8.75
40,50005041,7.4,,,,6.75,4.8,7.75,7.75,9.25
41,50005042,8.6,8.0,5.75,6.5,8.25,9.2,,,
42,50005043,8.4,,,,8.25,7.6,9.25,8.5,9.5
43,50005044,7.4,,,,6.5,7.8,7.0,6.5,8.5
44,50005045,6.2,,,,6.0,,5.0,6.75,
45,50005046,7.4,,,,8.0,6.2,7.75,7.25,9.5
46,50005047,9.2,,,,8.0,5.0,5.75,5.5,7.75
47,50005048,7.4,,,,7.25,6.4,6.75,7.25,8.5
48,50005049,6.6,,,,7.25,5.8,5.5,6.5,8.0
49,50005050,5.2,,,,7.5,4.6,4.75,6.75,7.25
50,50005051,5.8,,,,6.75,3.6,7.25,7.25,8.75
51,50005052,5.0,,,,6.0,,4.0,5.75,
52,50005053,5.6,,,,5.75,4.6,3.75,5.25,6.5
53,50005054,7.2,,,,7.75,7.4,8.5,7.0,9.5
54,50005055,6.8,,,,7.0,7.4,7.0,7.5,9.5
55,50005056,7.8,7.25,6.5,6.0,4.5,4.2,,,
56,50005057,6.6,,,,5.25,5.8,6.5,6.25,9.5
57,50005058,5.4,5.0,6.0,2.75,5.25,4.4,,,
